image_id,box0,box1,box2,box3,idx,action
0,1255.265381,737.0154419,71.32653809,153.2401733,1,1
0,1157.150269,738.1061401,57.0324707,154.5491943,2,1
0,1310.820801,703.711731,35.68676758,65.59570313,3,0
0,1052.47937,536.576355,20.84472656,45.56311035,4,0
1,1253.777563,736.7468384,73.07541541,157.1279175,1,1
1,1157.900725,741.3390503,55.70860887,150.9053467,2,1
1,1313.585108,707.1410767,33.01508672,60.64404297,3,0
2,1253.374434,736.367498,73.61313336,158.6075466,1,1
2,1161.975039,744.0050161,53.49932315,144.4600976,2,1
2,1313.31092,706.8124621,34.85749256,63.92425721,3,0
3,1254.435524,736.9130536,73.50825724,158.5793763,1,1
3,1160.926764,742.3350094,54.85093202,148.1454935,2,1
3,1059.331421,524.6790161,18.22473145,37.9510498,5,0
3,1054.216431,537.9766235,21.14294434,48.0581665,6,0
3,1083.151733,536.8101196,21.6973877,54.7833252,7,0
4,1256.063027,736.7596578,73.5224651,158.8427681,1,1
4,1163.279292,743.4517551,54.28036928,146.0203554,2,1
4,1059.856901,523.1401489,20.93676007,43.63195801,5,0
4,1315.642879,706.6478783,33.43984615,61.22287638,3,0
5,1256.560986,735.578095,74.77279148,161.9769208,1,1
5,1163.989808,744.0667322,54.07305153,144.744783,2,1
5,1315.875031,706.7967202,32.89991589,59.97845455,3,0
6,1257.926981,737.991655,72.71603313,157.4370549,1,1
6,1166.990093,741.7470809,56.10294062,149.2639107,2,1
6,1318.285538,707.7619527,32.11453066,57.86228371,3,0
7,1262.535861,739.5464226,71.17188742,153.2282068,1,1
7,1169.556949,741.1902909,56.81291382,150.7224252,2,1
8,1263.604503,742.1239312,69.13547022,148.6553543,1,1
8,1165.793483,740.8400796,57.54283124,152.3243331,2,1
8,1318.195267,707.5451988,33.12800635,59.8145361,3,0
9,1266.1611,742.6388821,68.59843441,146.2078601,1,1
9,1166.874269,740.2277708,58.90459011,153.6036746,2,1
9,1077.852539,536.3483276,31.55126953,60.63116455,8,0
9,1054.302856,536.4138184,29.00292969,52.32940674,9,0
9,1063.544147,523.4254039,20.05882303,41.29152324,5,0
10,1266.521419,740.8944791,70.3940593,149.3016727,1,1
10,1169.17483,738.7814255,60.67704552,155.9274083,2,1
10,1320.841309,706.3474695,32.97653104,58.66476332,3,0
11,1265.066708,740.3765962,70.21243251,148.6213903,1,1
11,1168.722709,737.8957412,62.52010981,157.461995,2,1
11,1319.772616,705.0408805,35.2251933,62.20171672,3,0
11,1083.067871,538.085144,22.86535645,50.52789307,10,0
12,1266.412977,738.2041883,72.94960843,154.0399968,1,1
12,1170.727778,736.8192201,63.71600579,157.7574594,2,1
12,1319.986388,705.8487151,34.67011373,61.00843761,3,0
12,1082.970166,535.3251831,22.56223093,49.85352783,10,0
12,1075.739921,525.1271843,20.0020916,41.9581802,5,0
13,1267.721922,737.6256483,74.18679658,156.7653091,1,1
13,1171.846857,736.3275871,64.99663798,159.2148215,2,1
14,1269.115972,738.8286454,72.57654527,152.8005228,1,0
14,1172.854222,734.8705382,65.92133513,160.2407426,2,1
14,1336.265585,704.5758528,33.728532,59.71674672,3,0
15,1269.455224,738.6856503,71.68824665,150.8456495,1,1
15,1172.377131,736.0614198,65.9933334,158.3418505,2,1
15,1337.600227,703.2840025,37.13411648,67.08820655,3,0
16,1270.919428,739.4239362,71.49728619,150.0284581,1,1
16,1172.59668,736.0190723,66.91481022,160.1827711,2,1
16,1340.951742,703.1585897,35.73919206,64.46014313,3,0
17,1272.046732,741.9263534,68.84887927,145.1371094,1,1
17,1172.70065,736.8901065,66.58224485,159.196964,2,1
17,1342.50039,703.7964458,34.49598016,61.85370247,3,0
17,1082.648753,532.4165451,24.29964036,53.45147803,10,0
17,1083.574808,524.1207383,20.07238761,42.87375351,5,0
18,1272.112907,744.8188553,65.94644984,139.9052755,1,1
18,1172.729247,736.4065652,66.66707087,160.9486125,2,1
18,1344.221194,705.376444,34.13980457,60.82440202,3,0
19,1274.547567,746.5573359,63.98198504,136.5697654,1,1
19,1174.515387,740.8927445,66.28758094,161.3062728,2,1
19,1346.837394,704.6379504,33.062489,59.33300707,3,0
20,1272.87409,738.6411541,68.62216022,147.3392324,1,1
20,1173.982766,742.8859371,66.07817393,160.9255733,2,1
20,1347.490337,703.565036,33.76985356,60.02517338,3,0
21,1273.595996,741.6000681,67.08974243,143.6993782,1,1
21,1173.292594,745.1896586,65.57221158,159.8869906,2,1
21,1348.132746,702.770986,34.5783132,61.27160252,3,0
22,1273.196799,740.21659,68.11517248,145.9619481,1,1
22,1172.28273,746.5308076,66.18973062,162.1550628,2,1
22,1349.594105,704.2635377,34.79204085,60.96600527,3,0
23,1271.575631,742.1769699,67.94958617,143.2167016,1,1
23,1172.01742,744.251876,68.3431169,165.5328499,2,1
23,1350.533019,705.0062952,35.42788793,61.39972643,3,0
24,1269.023234,741.3414457,70.13212297,144.2731475,1,1
24,1173.765178,745.8247382,67.9051042,162.952013,2,1
25,1272.614136,739.5515283,70.79788431,147.1539501,1,1
25,1183.95846,753.0186405,63.84139966,149.4271616,2,1
25,1116.731972,537.6508739,23.06987071,49.81760822,10,0
25,1112.142251,523.2494487,18.36949369,38.92002048,5,0
25,1354.476364,706.2810475,33.6015683,56.61962855,3,0
26,1274.380905,740.3032699,69.23764622,144.3656909,1,1
26,1188.407584,755.2527469,61.89575454,142.0701048,2,1
26,1354.072634,704.9588179,35.29489041,59.234841,3,0
27,1273.802,743.6364694,67.59415656,140.1081528,1,1
27,1189.633031,756.572912,62.83016548,141.0215534,2,1
27,1354.71574,705.5381403,35.20592836,57.46792785,3,0
28,1285.81279,751.9470441,63.20387246,129.5060336,1,1
28,1191.302321,757.4339486,64.21718612,141.2495785,2,1
29,1291.669018,756.2097107,59.80823817,122.5370062,1,1
29,1193.579308,757.6866015,65.52722742,141.9446037,2,1
30,1296.341949,756.7996244,60.04852449,122.0657596,1,1
30,1196.038426,757.9162378,67.58905145,145.0371132,2,1
30,1376.341309,699.8862915,39.60314941,73.47576904,11,0
30,1365.118408,690.5444336,58.78588867,97.15692139,12,0
31,1297.523492,753.3648102,62.19752493,126.1678089,1,1
31,1197.436837,754.7315958,69.28024168,147.5657394,2,1
31,1376.696325,701.4178889,40.26416648,66.42654586,3,0
32,1303.550328,755.4012721,60.80870222,123.8669566,1,1
32,1196.518994,753.2154099,70.63264471,150.8393857,2,1
32,1381.044081,702.9219666,39.49045255,64.50105329,3,0
32,1371.258545,696.472168,64.82958984,91.41113281,13,0
33,1305.341247,760.0429364,62.11030226,126.8425745,1,1
33,1202.09066,752.1987325,71.84230244,152.9190685,2,1
34,1307.210618,762.2995817,62.85513717,126.7885336,1,1
34,1212.328036,749.1982309,72.15317054,154.2448033,2,1
34,1324.37439,751.6904907,58.14013672,125.4708252,14,0
34,1402.630744,703.0838892,38.75522751,62.86581978,3,0
35,1321.31469,764.1118449,60.75837104,124.915632,1,1
35,1221.013644,750.7471985,71.07998067,152.8432072,2,1
35,1407.984079,701.69764,40.53293186,65.94712541,3,0
36,1330.04688,764.5660927,62.3118913,126.0676535,1,1
36,1228.577882,753.3357013,69.9481057,151.853496,2,1
36,1415.052432,702.3112714,40.11460514,66.59677873,3,0
36,1377.5354,680.7720337,42.35522461,50.95928955,15,0
37,1336.404351,767.3486149,61.20524901,121.8061882,1,1
37,1236.465717,751.584689,69.51277634,152.2344725,2,1
37,1420.546248,705.7839018,36.64047135,59.86213958,3,0
38,1339.8932,774.5646536,60.03760354,108.1116802,1,1
38,1248.125105,753.6020114,67.58126035,149.5682808,2,1
38,1440.898315,704.2319946,40.29455566,68.90447998,16,0
39,1348.584455,773.4201881,65.06261831,112.710204,1,1
39,1256.045206,752.3036254,67.05874546,150.2070902,2,1
39,1441.555061,704.3294077,39.28165511,64.49624027,3,0
40,1360.984823,777.7643898,63.84750118,108.2831025,1,1
40,1262.939577,752.6696335,67.05425155,151.7467493,2,1
40,1449.729765,702.1949342,41.53759874,69.17663155,3,0
40,1195.228169,521.4119777,21.04871297,43.09806387,5,0
41,1374.370772,777.1846999,65.72031431,109.8950831,1,1
41,1271.452694,750.2990844,68.40232835,156.5134812,2,1
41,1465.577498,704.2812778,40.90169512,68.97672458,3,0
41,1449.915771,711.9255371,44.30200195,59.40478516,17,0
42,1385.269425,779.4777712,65.24928202,107.0894174,1,1
42,1286.237941,751.3045378,66.00990874,152.4505981,2,1
42,1476.77521,703.9447977,40.05809614,67.06145288,3,0
42,1457.731079,690.295166,68.64355469,100.6882324,18,0
43,1396.219632,779.9270479,64.85307084,104.9791818,1,1
43,1296.270526,751.6894098,65.50967309,152.8841353,2,1
43,1483.393978,704.15189,40.20845414,67.51598388,3,0
43,1229.546021,523.2355347,18.94921875,37.74285889,19,0
43,1245.157111,521.3423251,23.60402914,50.51532472,10,0
44,1404.673776,780.6584264,65.00405232,104.5413236,1,1
44,1303.547789,747.9770948,67.09699911,158.2158693,2,1
44,1486.982645,707.3310208,38.68683556,64.09370161,3,0
45,1412.029237,779.3783501,66.2387282,106.5496437,1,1
45,1316.940446,750.1585518,64.6323751,153.2344703,2,1
45,1503.653862,706.2889603,38.32166069,63.66144168,3,0
45,1248.908691,533.684082,27.02612305,50.57183838,20,0
45,1255.405999,522.0307854,19.87080442,42.69284999,10,0
46,1421.317616,779.974142,67.3795699,108.570407,1,1
46,1326.814587,750.0039429,65.30430677,155.8200788,2,1
46,1511.731222,707.6521836,37.94018065,63.45737796,3,0
46,1258.234771,522.4355082,18.85310243,41.10025802,10,0
47,1429.958618,779.1811723,68.72453441,111.255344,1,1
47,1335.737794,749.3772007,64.81990138,156.7999921,2,1
47,1518.546131,708.2900694,38.1188591,63.79729002,3,0
48,1435.568422,779.8725589,68.1426421,110.4298351,1,1
48,1348.506644,748.3687796,65.48936684,157.9376387,2,1
48,1523.002111,710.549097,36.24626976,59.79103705,3,0
49,1439.485092,774.8817363,72.10629784,118.0041454,1,1
49,1358.782265,748.4102452,63.76150952,155.0924476,2,1
49,1521.56265,712.3395678,35.23746324,58.11245119,3,0
49,1542.339478,707.5795288,35.01831055,71.25439453,21,0
49,1285.503465,521.3928848,19.18386334,42.47294903,10,0
50,1443.320792,773.3016607,71.51210613,118.6308278,1,1
50,1367.138412,746.8735449,63.56704045,155.9948905,2,1
50,1547.780989,708.9356323,30.70130282,62.22783203,21,0
50,1291.338694,520.705329,19.75881939,42.24467253,10,0
50,1308.286499,525.0195313,25.07873535,44.67877197,22,0
51,1449.571944,769.8592794,73.5863068,122.9532658,1,1
51,1374.86797,746.3744737,64.31425694,156.5888679,2,1
51,1295.977714,520.0670164,20.00294471,42.93911616,10,0
51,1308.163227,522.6239746,25.8429548,46.05152588,22,0
51,1545.73044,712.2110907,35.89353725,57.99154694,3,0
52,1453.502553,769.242902,73.27804542,123.6896228,1,1
52,1380.357529,748.1646393,63.30357882,152.5742043,2,1
52,1297.578114,520.6433483,21.74891228,45.58411599,10,0
52,1307.39346,520.0524436,30.08330223,53.58533315,22,0
52,1550.273138,711.67222,38.37230929,61.80923036,3,0
53,1455.110245,765.6434833,74.09377729,126.5834111,1,1
53,1381.786092,741.3182734,61.90137177,151.6816213,2,1
53,1310.491206,520.3306221,29.03809044,51.83591303,22,0
53,1552.897278,709.5562709,38.51125612,61.32910748,3,0
54,1460.943893,766.4956933,71.7019157,123.3939539,1,1
54,1389.374171,741.8608685,60.82894301,146.3407787,2,1
54,1554.194347,710.3479276,38.82586864,60.91210793,3,0
55,1461.019176,764.5112545,71.79537503,125.1444416,1,1
55,1392.64705,742.8907937,60.17119721,141.1448345,2,1
55,1554.391885,711.1914568,37.6443405,58.80664462,3,0
56,1460.982969,752.8014794,74.05518126,131.7759996,1,1
56,1384.724328,739.3589731,62.24909932,148.8553537,2,1
56,1555.669706,709.1919901,32.22472598,64.53968274,21,0
57,1459.534968,743.5244872,78.23614243,142.6523267,1,1
57,1381.86114,736.2664233,63.73141726,155.9868934,2,1
57,1557.546555,707.8804924,32.80970649,64.76081011,21,0
58,1462.422034,744.894349,74.8022154,138.3553142,1,1
58,1381.268888,735.2753173,64.00260507,159.1087257,2,1
58,1557.647074,708.5015819,34.03267439,66.57975329,21,0
59,1460.377657,744.1614197,73.9380508,139.0767246,1,1
59,1381.378815,733.8608,63.31862293,159.1832931,2,1
59,1557.622578,706.8491835,35.08287529,67.84244563,21,0
60,1456.502319,744.5702475,72.41784143,138.8036245,1,1
60,1378.329874,734.9597876,62.53869334,158.2018403,2,1
60,1555.610491,706.5460031,33.54522915,63.7545097,21,0
61,1458.401116,744.6998052,70.93315834,138.2335307,1,1
61,1378.597028,736.0416803,62.03919285,156.7329348,2,1
61,1554.260363,707.376212,33.70033341,62.66707062,21,0
62,1458.826804,744.1585661,69.98966354,139.4182442,1,1
62,1377.757579,735.3894489,62.7627282,158.8692605,2,1
62,1554.246036,707.917566,33.58121365,61.12715829,21,0
62,1312.408526,516.310067,26.7222123,48.14526247,22,0
63,1461.556243,746.8351338,66.7557026,136.0749682,1,1
63,1376.478078,734.3434802,62.7934545,159.6782517,2,1
63,1555.039013,706.9019408,35.32770153,64.60102593,21,0
63,1313.342669,519.3588194,26.14260882,47.80988319,22,0
64,1462.187303,745.8770362,65.11332035,136.4231355,1,1
64,1376.89024,734.30131,62.51630003,159.1857203,2,1
64,1555.810922,706.6522326,35.70707878,65.35552504,21,0
